,,,,,,,,
Theme: Industry,,,,,,,,
Subject: Transport,,,,,,,,
Topic: Land Transport (including MRT and LRT),,,,,,,,
"Table Title: Motor Vehicle Population Under Vehicle Quota System, (As At End Of Period), Monthly",,,,,,,,
,,,,,,,,
Data last updated: 26/01/2026,,,,,,,,
Source: LAND TRANSPORT AUTHORITY,,,,,,,,
,,,,,,,,
Data Series,Total Motor Vehicles (Number),Total Motor Vehicles -> Category A: Cars (Number),Total Motor Vehicles -> Category B: Cars (Number),Total Motor Vehicles -> Weekend Cars/Off Peak Cars (Number),Total Motor Vehicles -> Category C: Goods Vehicles & Buses (Number),Total Motor Vehicles -> Category D: Motorcycles & Scooters (Number),Total Motor Vehicles -> Taxis (Number),Total Motor Vehicles -> Vehicles Exempted From VQS (Number)
  2005 Dec,754992,267872,170449,na,135633,138662,22383,19993
  2005 Nov,751890,266526,169379,na,135531,138370,22106,19978
  2005 Oct,750315,266260,168582,na,135292,138170,22059,19952
  2005 Sep,748070,265131,167719,na,135132,137872,22267,19949
  2005 Aug,745505,264313,166777,na,134682,137696,22141,19896
  2005 Jul,743901,263927,166004,na,134414,137640,22024,19892
  2005 Jun,742156,262962,165077,na,134821,137579,21881,19836
  2005 May,739130,261865,163869,na,134744,137214,21552,19886
  2005 Apr,737426,261209,162979,na,134800,137141,21400,19897
  2005 Mar,735475,260396,162194,na,134855,136818,21340,19872
  2005 Feb,732748,260026,160943,na,134405,136694,20851,19829
  2005 Jan,731314,260049,160170,na,134411,136362,20527,19795
  2004 Dec,727395,258629,158609,na,133814,136192,20407,19744
  2004 Nov,725760,258835,157418,na,133511,135959,20357,19680
  2004 Oct,723434,258400,156276,na,133292,135609,20212,19645
  2004 Sep,722175,257872,155358,na,133153,135581,20618,19593
  2004 Aug,720156,257637,154568,na,132850,135408,20141,19552
  2004 Jul,718939,257523,153702,na,132600,135316,20267,19531
  2004 Jun,716907,256968,152702,na,132424,135119,20212,19482
  2004 May,715955,257392,151496,na,132433,135102,20048,19484
  2004 Apr,715755,257931,150559,na,132697,135257,19833,19478
  2004 Mar,715382,258532,149601,na,132600,135472,19712,19465
  2004 Feb,714522,259601,148602,na,132305,135170,19419,19425
  2004 Jan,713222,259959,147577,na,131965,134886,19387,19448
  2003 Dec,711043,259551,145923,na,131852,134838,19384,19495
  2003 Nov,709957,260250,144780,na,131920,134327,19228,19452
  2003 Oct,709171,260588,143786,na,131953,134215,19192,19437
  2003 Sep,709123,261319,142891,na,131973,134302,19182,19456
  2003 Aug,708639,261864,142219,na,131903,134019,19130,19504
  2003 Jul,708191,262483,141375,na,131989,133774,19095,19475
  2003 Jun,707865,263030,140521,na,131919,133787,19131,19477
  2003 May,707872,264152,139931,na,131928,133212,19132,19517
  2003 Apr,707367,264711,138896,na,132192,133000,19055,19513
  2003 Mar,707459,265447,138262,na,132441,132686,19161,19462
  2003 Feb,707552,266421,137889,na,132460,132268,19143,19371
  2003 Jan,708151,267646,137656,na,132593,131813,19115,19328
  2002 Dec,706956,267838,136587,na,132607,131510,19106,19308
  2002 Nov,705371,268252,135645,na,132607,130804,18855,19208
  2002 Oct,704768,268694,134962,na,132630,130279,19007,19196
  2002 Sep,704833,269786,134320,na,132613,129982,18937,19195
  2002 Aug,705094,270878,133617,na,132470,130034,18961,19134
  2002 Jul,705304,272056,132830,na,132435,129922,18981,19080
  2002 Jun,705059,272809,132007,na,132665,129472,19018,19088
